,LOADNUMBER,LOAD_KEY,IS_PARENT_LOAD,IS_CHILD_LOAD,ASSOCIATED_XLR8_PARENT,ASSOCIATED_XLR8_CHILD,ASSOCIATED_FORAGER_LOADS,ASSOCIATED_SCOUT_LOADNUMBER,ORDERSTATUS,IS_AVAILABLE,IS_COVERED,IS_SHIPPED,IS_DELIVERED,IS_FLAMED,LOAD_TYPE,LOAD_EQUIPMENT_TYPE,LOAD_CLASS,LOAD_CLASS_BUCKET,WEIGHT,IS_TRUCKLOAD,IS_PARTIAL,IS_HIGH_VALUE,IS_HIGH_RISK,CREATED_ON,HAS_AUTOTRACKING,IS_AUTOTRACKING_ELIGIBLE,IS_AUTOTRACKING_ELIGIBLE_CARRIER,TRACKED_WITH_CONSISTENCY,TRACKED_WITH_CONSISTENCY_ELIGIBLE,NOWTRACKING_PRE_PICK,NOWTRACKING_PICKUP,NOWTRACKING_LOADED,NOWTRACKING_IN_TRANSIT,NOWTRACKING_DELIVERY,NOWTRACKING_DELIVERED,IS_NOWTRACKING_ELIGIBLE,LOADED_MILES,PICKUP_STOP_COUNT,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_CITY_STATE,ORIGIN_ZIP_FIVE,ORIGIN_ZIP_THREE,ORIGIN_ZONE,ORIGIN_COUNTRY_ALPHA3CODE,ORIGIN_CITY_ID,ORIGIN_IANA_TIMEZONE_NAME,ORIGIN_MARKET_CITY_ST,ORIGIN_MARKET_NAME,ORIGIN_MARKET_AREA_ID,ORIGIN_SONAR_AIRPORT_CODE,ORIGIN_GEOCODE,DELIVERY_STOP_COUNT,DEST_CITY,DEST_STATE,DEST_CITY_STATE,DEST_ZIP_FIVE,DEST_ZIP_THREE,DEST_ZONE,DEST_COUNTRY_ALPHA3CODE,DEST_CITY_ID,DEST_IANA_TIMEZONE_NAME,DEST_MARKET_CITY_ST,DEST_MARKET_NAME,DEST_MARKET_AREA_ID,DEST_SONAR_AIRPORT_CODE,DEST_GEOCODE,COUNTRY_TO_COUNTRY,IS_CROSSBORDER,MEX_BORDER_CROSSING_CITY_ST,MEX_BORDER_CROSSING_STATUS,CREATED_ON_CST,PICKED_UP_ACTUAL_ON_LOCAL,PICKUP_APPT_LATEST_LOCAL,SHIP_DATE_COALESCE,DELIVERY_APPT_LATEST_LOCAL,NETSUITE_ORIGINAL_DELIVERED_CHECK_CALL_CST,DELIVERED_ON_ACTUAL_LOCAL,AVAILABLE_ON_FIRST_CST,AVAILABLE_ON_LAST_CST,MARKED_FINISHED_ON_CST,BOOKED_ON_CST,CUSTOMER_ID,LOAD_CUSTOMER_ID,CUSTOMER_CODE,CUSTOMER_NAME,PARENT_CODE_MANUAL,PARENT_CUSTOMER_NAME,LOAD_CARRIER_ID,CARRIER_ID,CARRIER_CODE,CARRIER_NAME,TOP_SPEND,CUSTOMER_CHARGES_TOTAL,CARRIER_CHARGES_TOTAL,SPREAD_TOTAL,TOTAL_MARGIN_PERCENT,CUSTOMER_SHIPMENT_CHARGES_TOTAL,CUSTOMER_ACCESSORIAL_CHARGES_TOTAL,CUSTOMER_TONU_CHARGES_TOTAL,CARRIER_SHIPMENT_CHARGES_TOTAL,CARRIER_ACCESSORIAL_CHARGES_TOTAL,SHIPMENT_SPREAD,ACCESSORIAL_SPREAD,IS_TONU,IS_LOSS_LOAD,HIT_BASELINE,CARRIER_REP_COMMISSION,CUSTOMER_REP_COMMISSION,MARKET_RATE,IS_PRICED_TO_MAKE_ELIGIBLE,PRICED_TO_MAKE,IS_MARKET_COMP_ELIGIBLE,MARKET_COMP,ETP,ETP_LOW,ETP_HIGH,ETP_DATE,ETP_VS_COST,ETP_LOW_VS_COST,ETP_HIGH_VS_COST,MEET_ETP,MEET_ETP_LOW,MEET_ETP_HIGH,MEET_TS,BEAT_ETP,BEAT_ETP_LOW,BEAT_ETP_HIGH,BEAT_TS,TEST_GROUP,CARRIER_COMMISSION_REP_ID,CARRIER_COMMISSION_REP,CARRIER_COMMISSION_MNGR,CARRIER_COMMISSION_REP_TENURE_AT_SHIPPED,BIZDEV_COMMISSION_REP_ID,BIZDEV_COMMISSION_REP,BIZDEV_COMMISSION_MANAGER,BIZDEV_COMMISSION_REP_TENURE_AT_SHIPPED,BOOKED_BY_REP,BOOKED_BY_REP_ID,AUTO_QUOTE_COUNT,AUTO_QUOTE_SOURCE,IS_AUTO_ACQUIRED,LOAD_CREATED_TYPE,IS_AUTO_BUILT,BOOKING_TYPE,IS_TECH_BOOKED,CC_TENDER_COUNT,CC_TENDERS_SHIPPED,TRACKING_UPDATES_TOTAL,TRACKING_UPDATES_MANUAL,TRACKING_UPDATES_AUTO,IS_TECH_TRACKED,LOAD_INVOICES_TOTAL,IS_INVOICED,LOAD_INVOICES_EDI,IS_TECH_INVOICED,SNOWFLAKEUPDATEDON_CST,DBT_INVOCATION_ID,DBT_UPDATED_AT_CST
0,478363,0_478363_0,0,0,,,0,,Finished,0,1,1,1,False,DRY,F,Spot,Spot,45000.0,0,0,False,,2018-10-25 18:42:43.007,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,530,1,Ann Arbor,MI,"Ann Arbor, MI",48103,481,Z4,USA,50655.0,America/Detroit,"Detroit, MI",Detroit Mkt,MI_DET,DTW,"{
  ""coordinates"": [
    -83.83608,
    42.288026
  ],
  ""type"": ""POINT""
}",1,Mayfield,PA,"Mayfield, PA",18433,184,Z1,USA,14790.0,America/New_York,"Allentown, PA",Allentown Mkt,PA_ALL,ABE,"{
  ""coordinates"": [
    -75.540628,
    41.537117
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2018-10-25 13:42:43.007,,2018-10-26 14:00:00,2018-10-26 14:00:00,2018-10-29 10:00:00,,,,,,2018-10-26 14:26:39.117,56350,406082,PAHMAPA,P. A. Hutchison Company,PAHMAPA,P. A. Hutchison Company,355963.0,107998.0,CHRHOMI,"Chris Helms Transportation, Inc.",2400.0,3000.0,2000.0,1000.0,0.3333333333,3000.0,0.0,0.0,2000.0,0.0,1000.0,0.0,0,0,1,158.4,158.4,,0,,0,,,,,,,,,,,,,,,,,,1254,,,,3270.0,DKRISTIN,BPHILLIPS,,,1254.0,0.0,,0.0,Manual,0.0,Manual,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2023-04-03 06:30:20.938000-07:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
1,3407017,0_3407017_0,0,0,,,0,,Finished,0,1,1,1,,DRY,V,Contract - Primary,Contract,9721.0,1,0,False,False,2022-09-28 13:46:02.997,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1242,1,Millersburg,OH,"Millersburg, OH",44654,446,Z4,USA,18339.0,America/New_York,"Cleveland, OH",Cleveland Mkt,OH_CLE,CLE,"{
  ""coordinates"": [
    -81.91,
    40.55
  ],
  ""type"": ""POINT""
}",1,Houston,TX,"Houston, TX",77032,770,Z7,USA,29529.0,America/Chicago,"Houston, TX",Houston Mkt,TX_HOU,HOU,"{
  ""coordinates"": [
    -95.38,
    29.76
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2022-09-28 08:46:02.997,2022-10-04 11:30:00,2022-10-03 18:00:00,2022-10-04 11:30:00,2022-10-05 06:00:00,2022-10-05 12:41:00,2022-10-05 12:20:00,2022-09-28 15:03:31.997,2022-09-28 15:03:31.997,2022-10-08 01:10:10.693,2022-09-30 11:11:46.830,48969,3236779,WAGDEIL,Walgreens,WAGDEIL,Walgreens,3403484.0,79673.0,TRIPHTX,"T N X, Inc.",2500.0,2693.22,2500.0,193.22,0.0717431179,2693.22,0.0,0.0,2500.0,0.0,193.22,0.0,0,0,0,17.322,13.4576,2608.2,1,85.02,1,-108.2,,,,,,,,,,,,,,,,,28869,ASARVINEHBAGHI,JRIVERS,13.0,933.0,RCRAIG,SCOWIE,76.0,ASARVINEHBAGHI,28869.0,0.0,,0.0,EDI,1.0,Manual,0.0,0.0,0.0,149.0,6.0,143.0,1.0,1.0,1.0,1.0,1.0,2023-06-09 05:57:42.927000-07:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
2,3033215,0_3033215_0,0,0,,,0,,Finished,0,1,1,1,,DRY,V,Contract - Primary,Contract,18219.0,1,0,False,False,2022-06-08 14:27:23.863,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,392,1,Dixon,IL,"Dixon, IL",61021,610,Z6,USA,22650.0,America/Chicago,"Rockford, IL",Rockford Mkt,IL_RFD,RFD,"{
  ""coordinates"": [
    -89.47,
    41.84
  ],
  ""type"": ""POINT""
}",1,Jeffersonville,IN,"Jeffersonville, IN",47130,471,Z4,USA,24451.0,America/Kentucky/Louisville,"Louisville, KY",Louisville Mkt,KY_LOU,SDF,"{
  ""coordinates"": [
    -85.682658,
    38.376914
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2022-06-08 09:27:23.863,2022-06-09 13:45:00,2022-06-09 12:30:00,2022-06-09 13:45:00,2022-06-10 15:00:00,2022-06-10 07:45:00,2022-06-10 08:45:00,2022-06-08 13:22:41.477,2022-06-08 13:22:41.477,2022-06-13 01:09:08.697,2022-06-08 13:53:51.573,58570,2863089,UPMMRNC,"Upm Raflatac, Inc.",UPMMRNC,"Upm Raflatac, Inc.",2952700.0,171694.0,BAZTAMI,Baz Express Inc,1200.0,1690.26,1200.0,490.26,0.2900500514,1690.26,0.0,0.0,1200.0,0.0,490.26,0.0,0,0,1,66.2364,66.789,1344.56,1,345.7,1,-144.56,,,,,,,,,,,,,,,,,61293,RDESIDERIO,RSLAUGHTER,4.0,2797.0,ZSACK,SOSAWA,31.0,RDESIDERIO,61293.0,0.0,,0.0,EDI,1.0,Manual,0.0,0.0,0.0,103.0,6.0,97.0,1.0,1.0,1.0,0.0,0.0,2023-04-22 17:13:48.776000-07:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
3,352150,0_352150_0,0,0,,,0,,Finished,0,1,1,1,False,DRY,VR,Spot,Spot,42000.0,0,0,False,,2018-05-21 19:26:48.700,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,868,1,Jacksonville,FL,"Jacksonville, FL",32205,322,Z3,USA,27870.0,America/New_York,"Jacksonville, FL",Jacksonville Mkt,FL_JAX,JAX,"{
  ""coordinates"": [
    -81.722903,
    30.319304
  ],
  ""type"": ""POINT""
}",1,Houston,TX,"Houston, TX",77023,770,Z7,USA,29529.0,America/Chicago,"Houston, TX",Houston Mkt,TX_HOU,HOU,"{
  ""coordinates"": [
    -95.329659,
    29.719175
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2018-05-21 14:26:48.700,,2018-05-24 17:00:00,2018-05-24 17:00:00,2018-05-29 14:00:00,,,,,2018-06-12 13:27:37.777,2018-05-22 14:58:11.757,60616,308450,HOUHOTX,Houston Rags Inc,HOUHOTX,Houston Rags Inc,219935.0,74008.0,QCASHMN,"Q Carriers,Inc.",,1500.0,1700.0,-200.0,-0.1333333333,1500.0,0.0,0.0,1450.0,250.0,50.0,-250.0,0,1,0,10.0,-33.6,,0,,0,,,,,,,,,,,,,,,,,,895,RJONES,MGARCIA,,,,,,,1254.0,0.0,,0.0,Manual,0.0,Manual,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2023-01-05 01:10:58.538000-08:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
4,2016395,0_2016395_0,0,0,,,0,,Finished,0,1,1,1,True,REEFER,R,Contract - Primary,Contract,32000.0,1,0,False,,2021-06-25 15:00:50.903,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2101,1,Salem,OR,"Salem, OR",97301,973,Z9,USA,29823.0,America/Los_Angeles,"Portland, OR",Portland Mkt,OR_POR,PDX,"{
  ""coordinates"": [
    -122.995439,
    44.98157
  ],
  ""type"": ""POINT""
}",1,Garland,TX,"Garland, TX",75042,750,Z7,USA,33718.0,America/Chicago,"Dallas, TX",Dallas Mkt,TX_DAL,DAL,"{
  ""coordinates"": [
    -96.665458,
    32.90437
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2021-06-25 10:00:50.903,2021-07-02 15:00:00,2021-07-02 13:00:00,2021-07-02 15:00:00,2021-07-05 08:00:00,2021-07-05 14:12:24,2021-07-05 12:15:00,2021-06-25 10:44:39.103,2021-06-25 10:44:39.103,2021-07-08 02:02:08.783,2021-07-01 12:00:47.967,58229,1848080,USFROIL,"US Foods, Inc.",USFROIL,"US Foods, Inc.",1803874.0,62298.0,COLBAWA,Columbia Freight LLC,5400.0,6435.84,7800.0,-1364.16,-0.2119630071,6435.84,0.0,0.0,7800.0,0.0,-1364.16,0.0,0,1,0,9.0,-178.6408,5567.65,1,868.19,1,2232.35,,,,,,,,,,,,,,,,,3611,GSILVA,GANTOINE,8.0,1148.0,KCOSTNER,WRUTLEDGE,47.0,GSILVA,3611.0,0.0,,0.0,EDI,1.0,Manual,0.0,0.0,0.0,8.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,2023-01-25 01:13:40.938000-08:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
5,2168183,0_2168183_0,0,0,,,0,,Void,0,0,0,0,False,DRY,V,Spot,Spot,40000.0,1,0,False,,2021-08-27 18:16:58.383,,,,,,,,,,,,,344,1,Manteno,IL,"Manteno, IL",60950,609,Z6,USA,2881.0,America/Chicago,"Bloomington, IL",Bloomington Mkt,IL_BLO,BMI,"{
  ""coordinates"": [
    -87.83,
    41.25
  ],
  ""type"": ""POINT""
}",1,Groveport,OH,"Groveport, OH",43125,431,Z4,USA,37287.0,America/New_York,"Columbus, OH",Columbus Mkt,OH_COL,CMH,"{
  ""coordinates"": [
    -82.936948,
    39.834798
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2021-08-27 13:16:58.383,,2021-08-27 16:00:00,2021-08-27 16:00:00,2021-08-30 10:00:00,,,2021-08-27 13:16:58.757,2021-08-27 13:16:58.757,,,102945,1999773,UPSHEKY1,"UPS Supply Chain Solutions, Inc.",UPSALGA,"UPS Supply Chain Solutions, Inc.",,,,,1630.0,2750.0,0.0,2750.0,1.0,2750.0,0.0,0.0,0.0,0.0,2750.0,0.0,0,0,1,165.5,166.5,1523.92,1,1226.08,0,,,,,,,,,,,,,,,,,,,,,,889.0,SPOKLACKI,YKIM,,,,0.0,,0.0,Duplicated,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2023-01-25 01:13:54.589000-08:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
6,907228,0_907228_0,0,0,,,0,,Void,0,0,0,0,False,REEFER,R,Spot,Spot,35000.0,0,0,False,,2019-11-11 22:22:00.283,,,,,,,,,,,,,2658,1,Champaign,IL,"Champaign, IL",61821,618,Z6,USA,53848.0,America/Chicago,"Bloomington, IL",Bloomington Mkt,IL_BLO,BMI,"{
  ""coordinates"": [
    -88.273418,
    40.125435
  ],
  ""type"": ""POINT""
}",2,Sacramento,CA,"Sacramento, CA",95826,958,Z9,USA,2529.0,America/Los_Angeles,"Stockton, CA",Stockton Mkt,CA_STK,SCK,"{
  ""coordinates"": [
    -121.390834,
    38.535054
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2019-11-11 16:22:00.283,,2019-11-22 23:59:00,2019-11-22 23:59:00,2019-11-28 23:59:00,,,,,,,69955,846079,KRACHIL11,The Kraft Heinz Company (Low Volume),KRACHIL1,The Kraft Heinz Company,,,,,0.0,4101.11,0.0,4101.11,1.0,4101.11,0.0,0.0,0.0,0.0,4101.11,0.0,0,0,1,94.93,110.76,,0,,0,,,,,,,,,,,,,,,,,,,,,,1161.0,MREYNAERT,RAMARTIN,,,,0.0,,0.0,Manual,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2023-01-25 01:12:30.955000-08:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
7,1985642,0_1985642_0,0,0,,,0,,Void,0,0,0,0,,DRY,V,Spot,Spot,34992.0,1,0,False,,2021-06-11 17:05:11.340,,,,,,,,,,,,,844,1,Fort Smith,AR,"Fort Smith, AR",72916,729,Z7,USA,54824.0,America/Chicago,"Fayetteville, AR",Fayetteville Mkt,AR_FAY,XNA,"{
  ""coordinates"": [
    -94.42,
    35.37
  ],
  ""type"": ""POINT""
}",1,Longmont,CO,"Longmont, CO",80504,805,Z8,USA,6931.0,America/Denver,"Denver, CO",Denver Mkt,CO_DEN,DEN,"{
  ""coordinates"": [
    -105.11,
    40.17
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2021-06-11 12:05:11.340,,2021-06-14 12:00:00,2021-06-14 12:00:00,2021-06-16 15:00:00,,,,,,,57244,1817361,GRAPOOR,"Graphic Packaging International Partners, LLC",GRAPOOR,,,,,,,3639.68,0.0,3639.68,1.0,3639.68,0.0,0.0,0.0,0.0,3639.68,0.0,0,0,1,9.0,-1.3,3333.8,1,305.88,0,,,,,,,,,,,,,,,,,,,,,,1638.0,JREECE,ELOEDING,,,,0.0,,0.0,EDI,1.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2023-02-14 15:26:02.291000-08:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
8,336489,0_336489_0,0,0,,,0,,Finished,0,1,1,1,False,DRY,V,Spot,Spot,15000.0,0,0,False,,2018-04-28 01:12:15.680,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,196,1,San Antonio,TX,"San Antonio, TX",78264,782,Z7,USA,44905.0,America/Chicago,"San Antonio, TX",San Antonio Mkt,TX_ANT,SAT,"{
  ""coordinates"": [
    -98.553462,
    29.26155
  ],
  ""type"": ""POINT""
}",1,Houston,TX,"Houston, TX",77041,770,Z7,USA,29529.0,America/Chicago,"Houston, TX",Houston Mkt,TX_HOU,HOU,"{
  ""coordinates"": [
    -95.570499,
    29.876747
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2018-04-27 20:12:15.680,,2018-04-30 17:00:00,2018-04-30 17:00:00,2018-05-01 08:15:00,,,,,2018-05-01 15:40:19.183,2018-04-30 13:25:57.587,55198,291286,CARFOFL,Carrier Corporation,CARFOFL,Carrier Corporation,352547.0,74844.0,ROACLNC,Roadmax Corp,,693.36,550.0,143.36,0.2067612784,693.36,0.0,0.0,550.0,0.0,143.36,0.0,0,0,1,21.34,21.34,,0,,0,,,,,,,,,,,,,,,,,,1083,KSMITH,JZITO,,3850.0,KYCLARK,AROGERS,,,1254.0,0.0,,0.0,Manual,0.0,Manual,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2023-02-16 16:11:54.587000-08:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
9,2696567,0_2696567_0,0,0,,,0,,Finished,0,1,1,1,False,DRY,V,Contract - Primary,Contract,42000.0,1,0,False,False,2022-02-28 19:50:36.160,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1024,1,Glens Falls,NY,"Glens Falls, NY",12801,128,Z1,USA,38979.0,America/New_York,"Albany, NY",Albany Mkt,NY_ALB,ALB,"{
  ""coordinates"": [
    -73.64,
    43.31
  ],
  ""type"": ""POINT""
}",1,Neenah,WI,"Neenah, WI",54956,549,Z5,USA,47857.0,America/Chicago,"Green Bay, WI",Green Bay Mkt,WI_GRE,GRB,"{
  ""coordinates"": [
    -88.478128,
    44.148974
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2022-02-28 13:50:36.160,2022-03-04 15:10:00,2022-03-04 23:59:00,2022-03-04 15:10:00,2022-03-06 23:00:00,2022-03-07 07:14:00,2022-03-06 23:00:00,2022-02-28 13:50:36.853,2022-02-28 13:50:36.853,2022-03-10 00:20:55.223,2022-03-04 09:58:33.710,60404,2526769,FINGLNY3,Finch Paper Holdings LLC,FINGLNY3,Finch Paper Holdings LLC,2580871.0,64612.0,EVEELIL,Evennon Inc,2600.0,3772.76,2800.0,972.76,0.2578377633,3772.76,0.0,0.0,2800.0,0.0,972.76,0.0,0,0,1,133.7864,94.776,2764.8,1,1007.96,1,35.2,,,,,,,,,,,,,,,,,3796,IHINTON,KFILAR,14.0,1792.0,MMCMAHEN,BPHILLIPS,38.0,,38153.0,0.0,,0.0,Duplicated,0.0,Carrier Portal,1.0,0.0,0.0,8.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,2023-01-25 01:14:46.676000-08:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
