,LOADNUMBER,LOAD_KEY,IS_PARENT_LOAD,IS_CHILD_LOAD,ASSOCIATED_XLR8_PARENT,ASSOCIATED_XLR8_CHILD,ASSOCIATED_FORAGER_LOADS,ASSOCIATED_SCOUT_LOADNUMBER,ORDERSTATUS,IS_AVAILABLE,IS_COVERED,IS_SHIPPED,IS_DELIVERED,IS_FLAMED,LOAD_TYPE,LOAD_EQUIPMENT_TYPE,LOAD_CLASS,LOAD_CLASS_BUCKET,WEIGHT,IS_TRUCKLOAD,IS_PARTIAL,IS_HIGH_VALUE,IS_HIGH_RISK,CREATED_ON,HAS_AUTOTRACKING,IS_AUTOTRACKING_ELIGIBLE,IS_AUTOTRACKING_ELIGIBLE_CARRIER,TRACKED_WITH_CONSISTENCY,TRACKED_WITH_CONSISTENCY_ELIGIBLE,NOWTRACKING_PRE_PICK,NOWTRACKING_PICKUP,NOWTRACKING_LOADED,NOWTRACKING_IN_TRANSIT,NOWTRACKING_DELIVERY,NOWTRACKING_DELIVERED,IS_NOWTRACKING_ELIGIBLE,LOADED_MILES,PICKUP_STOP_COUNT,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_CITY_STATE,ORIGIN_ZIP_FIVE,ORIGIN_ZIP_THREE,ORIGIN_ZONE,ORIGIN_COUNTRY_ALPHA3CODE,ORIGIN_CITY_ID,ORIGIN_IANA_TIMEZONE_NAME,ORIGIN_MARKET_CITY_ST,ORIGIN_MARKET_NAME,ORIGIN_MARKET_AREA_ID,ORIGIN_SONAR_AIRPORT_CODE,ORIGIN_GEOCODE,DELIVERY_STOP_COUNT,DEST_CITY,DEST_STATE,DEST_CITY_STATE,DEST_ZIP_FIVE,DEST_ZIP_THREE,DEST_ZONE,DEST_COUNTRY_ALPHA3CODE,DEST_CITY_ID,DEST_IANA_TIMEZONE_NAME,DEST_MARKET_CITY_ST,DEST_MARKET_NAME,DEST_MARKET_AREA_ID,DEST_SONAR_AIRPORT_CODE,DEST_GEOCODE,COUNTRY_TO_COUNTRY,IS_CROSSBORDER,MEX_BORDER_CROSSING_CITY_ST,MEX_BORDER_CROSSING_STATUS,CREATED_ON_CST,PICKED_UP_ACTUAL_ON_LOCAL,PICKUP_APPT_LATEST_LOCAL,SHIP_DATE_COALESCE,DELIVERY_APPT_LATEST_LOCAL,NETSUITE_ORIGINAL_DELIVERED_CHECK_CALL_CST,DELIVERED_ON_ACTUAL_LOCAL,AVAILABLE_ON_FIRST_CST,AVAILABLE_ON_LAST_CST,MARKED_FINISHED_ON_CST,BOOKED_ON_CST,CUSTOMER_ID,LOAD_CUSTOMER_ID,CUSTOMER_CODE,CUSTOMER_NAME,PARENT_CODE_MANUAL,PARENT_CUSTOMER_NAME,LOAD_CARRIER_ID,CARRIER_ID,CARRIER_CODE,CARRIER_NAME,TOP_SPEND,CUSTOMER_CHARGES_TOTAL,CARRIER_CHARGES_TOTAL,SPREAD_TOTAL,TOTAL_MARGIN_PERCENT,CUSTOMER_SHIPMENT_CHARGES_TOTAL,CUSTOMER_ACCESSORIAL_CHARGES_TOTAL,CUSTOMER_TONU_CHARGES_TOTAL,CARRIER_SHIPMENT_CHARGES_TOTAL,CARRIER_ACCESSORIAL_CHARGES_TOTAL,SHIPMENT_SPREAD,ACCESSORIAL_SPREAD,IS_TONU,IS_LOSS_LOAD,HIT_BASELINE,CARRIER_REP_COMMISSION,CUSTOMER_REP_COMMISSION,MARKET_RATE,IS_PRICED_TO_MAKE_ELIGIBLE,PRICED_TO_MAKE,IS_MARKET_COMP_ELIGIBLE,MARKET_COMP,ETP,ETP_LOW,ETP_HIGH,ETP_DATE,ETP_VS_COST,ETP_LOW_VS_COST,ETP_HIGH_VS_COST,MEET_ETP,MEET_ETP_LOW,MEET_ETP_HIGH,MEET_TS,BEAT_ETP,BEAT_ETP_LOW,BEAT_ETP_HIGH,BEAT_TS,TEST_GROUP,CARRIER_COMMISSION_REP_ID,CARRIER_COMMISSION_REP,CARRIER_COMMISSION_MNGR,CARRIER_COMMISSION_REP_TENURE_AT_SHIPPED,BIZDEV_COMMISSION_REP_ID,BIZDEV_COMMISSION_REP,BIZDEV_COMMISSION_MANAGER,BIZDEV_COMMISSION_REP_TENURE_AT_SHIPPED,BOOKED_BY_REP,BOOKED_BY_REP_ID,AUTO_QUOTE_COUNT,AUTO_QUOTE_SOURCE,IS_AUTO_ACQUIRED,LOAD_CREATED_TYPE,IS_AUTO_BUILT,BOOKING_TYPE,IS_TECH_BOOKED,CC_TENDER_COUNT,CC_TENDERS_SHIPPED,TRACKING_UPDATES_TOTAL,TRACKING_UPDATES_MANUAL,TRACKING_UPDATES_AUTO,IS_TECH_TRACKED,LOAD_INVOICES_TOTAL,IS_INVOICED,LOAD_INVOICES_EDI,IS_TECH_INVOICED,SNOWFLAKEUPDATEDON_CST,DBT_INVOCATION_ID,DBT_UPDATED_AT_CST
0,1416573,0_1416573_0,0,0,,,0,,Finished,0,1,1,1,,DRY,VR,Contract - Primary,Contract,43352.0,1,0,False,,2020-08-11 19:13:19.980,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2442,1,Quincy,FL,"Quincy, FL",32351,323,Z3,USA,28322.0,America/New_York,"Tallahassee, FL",Tallahassee Mkt,FL_TAL,THL,"{
  ""coordinates"": [
    -84.591946,
    30.570689
  ],
  ""type"": ""POINT""
}",1,Fernley,NV,"Fernley, NV",89408,894,Z8,USA,19409.0,America/Los_Angeles,"Reno, NV",Reno Mkt,NV_REN,RNO,"{
  ""coordinates"": [
    -119.17,
    39.56
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2020-08-11 14:13:19.980,2020-08-18 10:30:00.000,2020-08-17 16:00:00,2020-08-18 10:30:00.000,2020-08-20 14:00:00,2020-08-20 15:57:52,2020-08-20 13:30:00.000,2020-08-11 14:17:59.503,2020-08-11 14:17:59.503,2020-08-27 01:07:01.947,2020-08-17 09:29:14.080,86855,1248774,UNIDOIL1,Univar Solutions Inc.,UNIDOIL1,Univar Solutions Inc.,1142691.0,66780.0,HARMACA,Satkartar Transport Inc,3100.0,3351.13,3200.0,151.13,0.0450982206,3351.13,0.0,0.0,3200.0,0.0,151.13,0.0,0,0,0,16.9356,19.7582,2914.86,1,-88.93,1,-240.06,,,,,,,,,,,,,,,,,1609,JJEFFREYS,ACAMPAGNA,24.0,821.0,BSMITH,MOROPEZA,73.0,JJEFFREYS,1609.0,0,,0,Manual,0,Manual,0,0,0,10.0,10.0,0.0,0,1,1,0,0,2023-04-28 13:42:07.605000-07:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
1,515865,0_515865_0,0,0,,,0,,Finished,0,1,1,1,False,DRY,V,Contract - Primary,Contract,42524.0,0,0,False,,2018-12-06 03:45:10.450,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,735,1,Turlock,CA,"Turlock, CA",95380,953,Z9,USA,52151.0,America/Los_Angeles,"Stockton, CA",Stockton Mkt,CA_STK,SCK,"{
  ""coordinates"": [
    -120.867161,
    37.481087
  ],
  ""type"": ""POINT""
}",1,Sunnyside,WA,"Sunnyside, WA",98944,989,Z9,USA,26336.0,America/Los_Angeles,"Pendleton, OR",Pendleton Mkt,OR_PEN,PDT,"{
  ""coordinates"": [
    -119.977564,
    46.32395
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2018-12-05 21:45:10.450,,2018-12-11 15:00:00,2018-12-11 15:00:00.000,2018-12-13 12:00:00,,,,,,2018-12-10 16:25:49.097,58188,486857,DLAKAMO,Delaval Inc.,DLAKAMO,Delaval Inc.,362540.0,63650.0,DOLPAIL,Dolche Truckload Corp,2600.0,3294.9,3000.0,294.9,0.0895019575,3144.9,150.0,0.0,3000.0,0.0,144.9,150.0,0,0,0,34.19,39.89,,0,,0,,,,,,,,,,,,,,,,,,1263,NBRETT,TNARANCE,,1665.0,BROWTON,BLASHER,,,1254.0,0,,0,Manual,0,Manual,0,0,0,,,,0,0,0,0,0,2023-06-14 09:10:59.277000-07:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
2,308428,0_308428_0,0,0,,,0,,Void,0,0,0,0,False,LTL,V,Spot,Spot,11474.0,0,0,False,,2018-03-16 20:53:48.800,,,,,,,,,,,,,390,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,2018-03-16 15:53:48.800,,,,,,,,,,,49420,238565,VALLAGA,"Valentine Enterprises, Inc.",VALLAGA,"Valentine Enterprises, Inc.",,,,,0.0,802.22,0.0,802.22,1.0,802.22,0.0,0.0,0.0,0.0,802.22,0.0,0,0,1,126.7552,126.7552,,0,,0,,,,,,,,,,,,,,,,,,,,,,821.0,BSMITH,MOROPEZA,,,,0,,0,Manual,0,,0,0,0,,,,0,0,0,0,0,2023-04-22 17:13:57.060000-07:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
3,2214034,0_2214034_0,0,0,,,0,,Finished,0,1,1,1,True,REEFER,R,Spot,Spot,37524.0,1,0,True,,2021-09-15 17:15:11.980,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,540,1,Edwardsville,IL,"Edwardsville, IL",62025,620,Z6,USA,47644.0,America/Chicago,"St Louis, MO",St Louis Mkt,MO_STL,STL,"{
  ""coordinates"": [
    -89.96,
    38.8
  ],
  ""type"": ""POINT""
}",1,Northfield,MN,"Northfield, MN",55057,550,Z5,USA,45475.0,America/Chicago,"Minneapolis, MN",Minneapolis Mkt,MN_MIN,MSP,"{
  ""coordinates"": [
    -93.178424,
    44.455594
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2021-09-15 12:15:11.980,2021-09-18 16:36:00.000,2021-09-18 13:00:00,2021-09-18 16:36:00.000,2021-09-19 23:59:00,2021-09-20 01:02:00,2021-09-20 00:00:00.000,2021-09-15 12:59:04.580,2021-09-15 12:59:04.580,2021-10-04 01:00:13.100,2021-09-16 15:37:57.297,53205,2045584,HERHEPA,Hershey Company,HERHEPA,Hershey Company,2017259.0,67893.0,JALMIMN,Jalwo Trucking LLC,2400.0,2895.6,3000.0,-104.4,-0.0360547036,2895.6,0.0,0.0,3000.0,0.0,-104.4,0.0,0,1,0,9.0,-14.872,,0,,0,,,,,,,,,,,,,,,,,,1384,MMIRABAL,KFILAR,41.0,860.0,TSHOUSE,JDEROSA,70.0,THUDNALL,1448.0,0,,0,EDI,1,Manual,0,0,0,35.0,5.0,30.0,1,1,1,0,0,2023-01-25 01:13:58.886000-08:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
4,83748,0_83748_0,0,0,,,0,,Finished,0,1,1,1,False,DRY,V,Spot,Spot,43887.0,0,0,False,,2017-04-01 01:35:21.277,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,595,1,Manchester,TN,"Manchester, TN",37355,373,Z3,USA,35402.0,America/Chicago,"Chattanooga, TN",Chattanooga Mkt,TN_CHA,CHA,"{
  ""coordinates"": [
    -86.08,
    35.46
  ],
  ""type"": ""POINT""
}",1,Plymouth,MI,"Plymouth, MI",48170,481,Z4,USA,55795.0,America/Detroit,"Detroit, MI",Detroit Mkt,MI_DET,DTW,"{
  ""coordinates"": [
    -83.444843,
    42.355206
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2017-03-31 20:35:21.277,,2016-02-26 16:00:00,2016-02-26 16:00:00.000,2016-02-29 13:00:00,,,,,,,50428,77605,RAVORFL,Ravago Americas LLC,RAVORFL,Ravago Americas LLC,154661.0,73752.0,PRETOOH,PREMIUM TRANSPORTATION LOGISTICS LLC,,825.66,750.0,75.66,0.0916357822,825.66,0.0,0.0,750.0,0.0,75.66,0.0,0,0,0,10.0,9.19,,0,,0,,,,,,,,,,,,,,,,,,814,NSMITH,TWILSON,,1212.0,CNOORI,RAMARTIN,,,1254.0,0,,0,Manual,0,Manual,0,0,0,,,,0,0,0,0,0,2023-01-25 01:11:41.346000-08:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
5,4054155,0_4054155_0,0,0,,,0,,Finished,0,1,1,1,,DRY,V,Spot,Spot,44900.0,1,0,False,False,2023-04-12 15:07:06.507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.866667,1.0,0.0,609,1,Staley,NC,"Staley, NC",27298,272,Z2,USA,19625.0,America/New_York,"Greensboro, NC",Greensboro Mkt,NC_GRE,GSO,"{
  ""coordinates"": [
    -79.554592,
    35.814386
  ],
  ""type"": ""POINT""
}",1,Kissimmee,FL,"Kissimmee, FL",34747,347,Z3,USA,2114.0,America/New_York,"Lakeland, FL",Lakeland Mkt,FL_LAK,LAL,"{
  ""coordinates"": [
    -81.590491,
    28.297848
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2023-04-12 10:07:06.507,2023-04-13 08:38:00.000,2023-04-13 15:00:00,2023-04-13 08:38:00.000,2023-04-14 15:00:00,2023-04-17 16:37:00,2023-04-17 16:45:00.000,2023-04-12 11:59:26.207,2023-04-12 12:14:00.103,2023-04-20 01:57:16.820,2023-04-12 12:14:23.883,51833,3883792,POOCOLA,Pool Corporation,POOCOLA,Pool Corporation,4158712.0,62967.0,DAVCAGA,Davis Transfer Company Inc,1200.0,1491.0,1300.0,191.0,0.128101945,1491.0,0.0,0.0,1300.0,0.0,191.0,0.0,0,0,0,15.51,13.28,1565.13,1,-74.13,1,-265.13,1179.5398,1179.5398,,2023-04-12,-120.4602,-120.46019999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,target10,1238,ASWADE,PREYNOLDS,64.0,13314.0,HRICHARDSON,CKASTEN,22.0,ASWADE,1238.0,0,,0,EDI,1,Manual,0,0,0,352.0,5.0,347.0,1,1,1,0,0,2023-05-26 18:56:37.907000-07:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
6,923614,0_923614_0,0,0,,,0,,Finished,0,1,1,1,True,DRY,V,Spot,Spot,44000.0,0,0,False,,2019-11-22 00:43:48.173,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,263,1,Panama City,FL,"Panama City, FL",32401,324,Z3,USA,40735.0,America/Chicago,"Tallahassee, FL",Tallahassee Mkt,FL_TAL,THL,"{
  ""coordinates"": [
    -85.67,
    30.17
  ],
  ""type"": ""POINT""
}",1,Jacksonville,FL,"Jacksonville, FL",32218,322,Z3,USA,27870.0,America/New_York,"Jacksonville, FL",Jacksonville Mkt,FL_JAX,JAX,"{
  ""coordinates"": [
    -81.637421,
    30.418863
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2019-11-21 18:43:48.173,,2019-11-26 12:00:00,2019-11-26 12:00:00.000,2019-11-27 08:00:00,,,,,,2019-11-25 17:43:44.580,56558,863140,WESATGA,Westrock Company,WESATGA,Westrock Company,724201.0,72202.0,NATSAFL,"Nationwide Truck Line, Inc.",650.0,900.0,900.0,0.0,0.0,900.0,0.0,0.0,900.0,0.0,0.0,0.0,0,0,0,10.0,-1.4,637.32,1,178.08,1,178.08,,,,,,,,,,,,,,,,,1188,EMENDIZABA,CDAKER,,1673.0,EWASHBURN,AROGERS,,,1254.0,0,,0,Manual,0,Manual,0,0,0,1.0,0.0,1.0,1,0,0,0,0,2023-01-25 01:12:31.787000-08:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
7,3584937,0_3584937_0,0,0,,,0,,Finished,0,1,1,1,True,DRY,V,Contract - Primary,Contract,6233.0,1,0,False,False,2022-11-18 20:14:17.467,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,239,1,Alburtis,PA,"Alburtis, PA",18011,180,Z1,USA,42523.0,America/New_York,"Allentown, PA",Allentown Mkt,PA_ALL,ABE,"{
  ""coordinates"": [
    -75.6,
    40.5
  ],
  ""type"": ""POINT""
}",1,Enfield,CT,"Enfield, CT",06082,060,Z0,USA,51027.0,America/New_York,"Hartford, CT",Hartford Mkt,CT_HAR,BDL,"{
  ""coordinates"": [
    -72.515192,
    42.011435
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2022-11-18 14:14:17.467,2022-11-29 14:35:00.000,2022-11-29 15:00:00,2022-11-29 14:35:00.000,2022-11-30 12:45:00,2022-11-30 13:01:00,2022-11-30 14:01:00.000,2022-11-21 07:19:00.810,2022-11-21 07:19:00.810,2022-12-03 00:44:47.703,2022-11-29 10:05:50.473,58660,3414624,AAP,"Advance Auto Parts, Inc.",AAP,"Advance Auto Parts, Inc.",3633351.0,59445.0,AMNBEPA,Amnee Transportation Inc,500.0,983.3099,1200.0,-216.6901,-0.220368065,983.3099,0.0,0.0,1200.0,0.0,-216.6901,0.0,0,1,0,9.0,-31.4197,1054.5,1,-71.19,1,145.5,,,,,,,,,,,,,,,,,76293,RJIRIK,JZITO,5.0,1533.0,KSCHROUGHA,DHASSELSON,52.0,RJIRIK,76293.0,0,,0,EDI,1,Manual,0,0,0,17.0,7.0,10.0,1,1,1,0,0,2023-01-25 01:16:05.322000-08:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
8,3279586,0_3279586_0,0,0,,,0,,Void,0,0,0,0,,DRY,VR,Spot,Spot,44000.0,1,0,False,False,2022-08-22 16:52:32.570,,,,,,,,,,,,,1500,1,Houston,TX,"Houston, TX",77029,770,Z7,USA,29529.0,America/Chicago,"Houston, TX",Houston Mkt,TX_HOU,HOU,"{
  ""coordinates"": [
    -95.38,
    29.76
  ],
  ""type"": ""POINT""
}",1,Salt Lake City,UT,"Salt Lake City, UT",84116,841,Z8,USA,20285.0,America/Denver,"Salt Lake City, UT",Salt Lake City Mkt,UT_SLC,SLC,"{
  ""coordinates"": [
    -111.9,
    40.75
  ],
  ""type"": ""POINT""
}",USA-USA,0,,,2022-08-22 11:52:32.570,,2022-09-01 00:30:00,2022-09-01 00:30:00.000,2022-09-03 00:30:00,,,2022-08-25 14:48:07.510,2022-08-26 12:29:13.147,,,59347,3109396,ABINBEV,"Anheuser-Busch Companies, LLC",ABINBEV,"Anheuser-Busch Companies, LLC",,,,,2900.0,3148.88,0.0,3148.88,1.0,3148.88,0.0,0.0,0.0,0.0,3148.88,0.0,0,0,1,22.888,31.0544,3645.0,1,-496.12,0,,,,,,,,,,,,,,,,,,,,,,1120.0,LSOIGNIER,MOROPEZA,,,,2,AVRL,1,EDI,1,,0,0,0,,,,0,0,0,0,0,2023-04-22 17:13:54.176000-07:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
9,1449921,0_1449921_0,0,0,,,0,,Finished,0,1,1,1,False,REEFER,R,Spot,Spot,42000.0,1,0,False,,2020-09-01 19:55:02.253,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1536,1,Bellwood,IL,"Bellwood, IL",60104,601,Z6,USA,18277.0,America/Chicago,"Chicago, IL",Chicago Mkt,IL_CHI,CHI,"{
  ""coordinates"": [
    -87.87,
    41.88
  ],
  ""type"": ""POINT""
}",1,COALDALE,AB,"COALDALE, AB",T1M1E9,T1M1E9,ZW,CAN,59640.0,America/Edmonton,,,,,"{
  ""coordinates"": [
    -112.619522,
    49.726435
  ],
  ""type"": ""POINT""
}",USA-CAN,1,,,2020-09-01 14:55:02.253,2020-09-02 09:30:00.000,2020-09-02 13:00:00,2020-09-02 09:30:00.000,2020-09-04 15:00:00,2020-09-04 11:25:32,2020-09-04 10:30:00.000,,,2020-09-09 11:18:52.850,2020-09-01 16:26:10.393,55182,1282106,NUBBEIL,Nubani Distributors Inc.,NUBBEIL,Nubani Distributors Inc.,1169951.0,113555.0,UNISUBC,United King Transport Ltd,3500.0,4075.0,3000.0,1075.0,0.2638036809,4075.0,0.0,0.0,3000.0,0.0,1075.0,0.0,0,0,1,170.4,170.4,,0,,0,,,,,,,,,,,,,,,,,,1354,DMELENDEZ,NTURZER,31.0,72753.0,MHESCOTT,TSERENA,-20.0,DMELENDEZ,1354.0,0,,0,Manual,0,Manual,0,0,0,8.0,5.0,3.0,1,1,1,0,0,2023-02-13 16:11:38.402000-08:00,c7b4a70c-c019-4d4f-9718-bb7dac89c596,2023-06-20 13:03:29.632
